object_type,object_id,st_astext
way,39662180,POINT (7.410543 10.471638)
way,112625169,POINT (7.453367 10.562997)
way,179949478,POINT (7.721724 11.086424)
way,308639460,POINT (10.191885 11.679785)
way,161619587,POINT (8.559965 11.936584)
way,289548950,POINT (8.535098 11.964937)
way,339747997,POINT (8.557787 11.959743)
way,247268987,POINT (8.570869 11.972789)
way,162040619,POINT (8.462046 11.978726)
way,247104206,POINT (8.566086 11.989010)
way,247104206,POINT (8.566208 11.988236)
way,247104206,POINT (8.566299 11.987887)
way,247104214,POINT (8.566019 11.990998)
way,270799686,POINT (8.496406 12.021282)
way,222081197,POINT (4.195148 12.446902)
way,361950953,POINT (-17.461174 14.722257)
way,245611414,POINT (-17.428639 14.730591)
way,336401854,POINT (-17.424654 14.737076)
way,349555394,POINT (32.591371 15.508598)
way,178172192,POINT (32.529247 15.515496)
way,336254461,POINT (32.532760 15.523127)
way,343843784,POINT (32.571801 15.541873)
way,156537452,POINT (32.579486 15.547943)
way,156537452,POINT (32.580133 15.548022)
way,26493567,POINT (32.572147 15.595599)
way,30639832,POINT (32.572258 15.600390)
way,30639829,POINT (32.576062 15.599254)
way,218220362,POINT (32.544407 15.612899)
way,218220362,POINT (32.544394 15.612977)
way,145602402,POINT (32.488272 15.653686)
way,145602402,POINT (32.488293 15.654115)
way,5137394,POINT (32.487884 15.654089)
way,85759865,POINT (32.488297 15.654191)
way,5137394,POINT (32.487118 15.655754)
way,5137394,POINT (32.487269 15.655425)
way,136466852,POINT (32.485924 15.661376)
way,338360831,POINT (32.540807 15.658834)
way,94168726,POINT (31.179466 27.188122)
way,94169028,POINT (31.179872 27.188217)
way,364381915,POINT (30.756504 28.097668)
way,178505875,POINT (30.757134 28.098020)
way,174329157,POINT (34.938871 29.277843)
way,97246453,POINT (30.839343 29.306379)
way,96599408,POINT (30.840425 29.305190)
way,96747515,POINT (30.840479 29.308508)
way,96747525,POINT (30.845420 29.313013)
way,96624911,POINT (30.847966 29.314927)
way,95989512,POINT (30.848079 29.312842)
way,96624902,POINT (30.848884 29.314835)
way,96624902,POINT (30.848873 29.314528)
way,94184979,POINT (30.849608 29.314467)
way,96624919,POINT (30.849624 29.314772)
way,96854555,POINT (30.836824 29.318756)
way,96854563,POINT (30.837242 29.318742)
way,96854549,POINT (30.836985 29.318930)
way,96854549,POINT (30.837451 29.319427)
way,96854549,POINT (30.837295 29.319263)
way,96854549,POINT (30.837142 29.319099)
way,96854557,POINT (30.837666 29.319262)
way,96854557,POINT (30.837544 29.319083)
way,96854557,POINT (30.837387 29.318906)
way,29185982,POINT (34.968779 29.553860)
way,30623425,POINT (34.966365 29.549237)
way,30623431,POINT (34.965446 29.549482)
way,30623434,POINT (34.966560 29.549123)
way,30623442,POINT (34.966655 29.549760)
way,42998288,POINT (34.966404 29.549102)
way,165073813,POINT (34.965390 29.549711)
way,356386384,POINT (34.966498 29.549335)
way,134166128,POINT (32.351764 29.666826)
way,134166118,POINT (32.356619 29.671789)
way,98776184,POINT (31.062157 29.964151)
way,28829555,POINT (31.257496 29.961352)
way,28916650,POINT (31.256745 29.960942)
way,38811084,POINT (31.257402 29.958486)
way,208992817,POINT (31.263794 29.955501)
way,210735778,POINT (31.264037 29.960773)
way,24637138,POINT (31.266462 29.960231)
way,28829187,POINT (31.265145 29.961234)
way,28829187,POINT (31.265308 29.961802)
way,98052479,POINT (32.537405 29.962949)
way,28917540,POINT (31.255254 29.966530)
way,28917540,POINT (31.255171 29.967182)
way,28917536,POINT (31.256319 29.967263)
way,326602519,POINT (31.286348 29.976390)
way,30072295,POINT (31.203396 29.995589)
way,28799963,POINT (31.208819 29.999922)
way,28799963,POINT (31.208743 29.999218)
way,30071229,POINT (31.209008 30.000020)
way,287108580,POINT (30.972787 30.007425)
way,287108580,POINT (30.972856 30.007491)
way,314797189,POINT (31.138635 30.012047)
way,30071406,POINT (31.199219 30.012499)
way,30071339,POINT (31.200538 30.009850)
way,34869804,POINT (31.201646 30.011594)
way,38284622,POINT (31.204089 30.014776)
way,192434891,POINT (31.208916 30.013555)
way,55464587,POINT (31.210103 30.020842)
