way_id,geom
208992817,"POINT (31.263794 29.955501)"
210735778,"POINT (31.264037 29.960773)"
24637138,"POINT (31.266462 29.960231)"
28829187,"MULTIPOINT ((31.265145 29.961234), (31.265308 29.961802))"
98052479,"POINT (32.537405 29.962949)"
28917540,"MULTIPOINT ((31.255254 29.966530), (31.255171 29.967182))"
28917536,"POINT (31.256319 29.967263)"
326602519,"POINT (31.286348 29.976390)"
30072295,"POINT (31.203396 29.995589)"
28799963,"MULTIPOINT ((31.208819 29.999922), (31.208743 29.999218))"
30071229,"POINT (31.209008 30.000020)"
287108580,"MULTIPOINT ((30.972787 30.007425), (30.972856 30.007491))"
314797189,"POINT (31.138635 30.012047)"
30071406,"POINT (31.199219 30.012499)"
30071339,"POINT (31.200538 30.009850)"
34869804,"POINT (31.201646 30.011594)"
38284622,"POINT (31.204089 30.014776)"
192434891,"POINT (31.208916 30.013555)"
55464587,"POINT (31.210103 30.020842)"
28857547,"POINT (31.216338 30.020205)"
59545677,"POINT (31.216985 30.015887)"
55944591,"POINT (31.217007 30.015751)"
4987245,"POINT (31.230435 30.022535)"
39167830,"POINT (31.230432 30.022536)"
29974240,"MULTIPOINT ((31.257078 30.024434), (31.257104 30.024371))"
29418862,"POINT (31.281145 30.015512)"
77179904,"POINT (31.168618 30.031555)"
98642761,"POINT (31.168642 30.031559)"
233125835,"POINT (31.172271 30.030960)"
359177548,"MULTIPOINT ((31.208356 30.028500), (31.208399 30.028505), (31.208503 30.028517))"
359180190,"POINT (31.208401 30.026614)"
153834054,"POINT (31.219951 30.040197)"
10950988,"POINT (31.231560 30.043875)"
97396421,"POINT (31.266016 30.036393)"
97396411,"POINT (31.266083 30.036464)"
26253804,"POINT (31.336434 30.039212)"
46846377,"POINT (31.190854 30.048763)"
305980141,"POINT (31.234367 30.050481)"
35573440,"POINT (31.248979 30.054453)"
35573380,"POINT (31.249614 30.050280)"
28832221,"POINT (31.250934 30.049941)"
174546462,"POINT (31.193334 30.059487)"
271088236,"POINT (31.195591 30.058205)"
24987164,"POINT (31.224562 30.058566)"
33804311,"POINT (31.224802 30.058811)"
10945548,"POINT (31.228620 30.057233)"
52042432,"POINT (31.228487 30.057266)"
256051728,"POINT (31.231216 30.056547)"
28851134,"POINT (31.240790 30.058112)"
28851338,"POINT (31.240787 30.058115)"
305992341,"MULTIPOINT ((31.242684 30.058674), (31.242716 30.058364))"
26096047,"MULTIPOINT ((31.244061 30.060013), (31.244238 30.059872))"
29181336,"POINT (31.245502 30.061259)"
306010027,"POINT (31.246250 30.061629)"
224955063,"POINT (31.279465 30.055401)"
191577701,"MULTIPOINT ((31.279491 30.055837), (31.279494 30.055437), (31.279460 30.055296))"
25026293,"POINT (31.279663 30.055952)"
33791388,"POINT (31.279918 30.055966)"
28720102,"POINT (31.281286 30.063528)"
26206307,"POINT (31.330323 30.059241)"
28826000,"POINT (31.334668 30.057993)"
26206262,"POINT (31.332873 30.061501)"
182371956,"POINT (31.331459 30.064211)"
26729412,"POINT (31.334357 30.064535)"
25584525,"POINT (31.339053 30.057402)"
292852084,"POINT (31.016171 30.068628)"
31543851,"POINT (31.016366 30.068014)"
305775074,"POINT (31.227653 30.074314)"
52042430,"POINT (31.227758 30.074268)"
199151238,"MULTIPOINT ((31.251873 30.066852), (31.251817 30.066802))"
199151250,"MULTIPOINT ((31.251767 30.066912), (31.251718 30.066860))"
29181899,"POINT (31.266529 30.068810)"
59546779,"POINT (31.291675 30.069112)"
40395893,"POINT (31.482852 30.065083)"
29423160,"POINT (31.223283 30.076026)"
24869131,"POINT (31.223367 30.075995)"
305739337,"POINT (31.236022 30.084154)"
48210154,"MULTIPOINT ((31.214480 30.092345), (31.214264 30.091649), (31.214040 30.090924), (31.214379 30.092021))"
30122826,"POINT (31.217781 30.090506)"
41693944,"POINT (31.356590 30.102306)"
41693943,"POINT (31.356683 30.102189)"
266290985,"POINT (31.397486 30.112560)"
266290983,"POINT (31.397556 30.112324)"
135335426,"POINT (31.631310 30.109547)"
135335431,"POINT (31.630736 30.112967)"
135335444,"POINT (31.630638 30.112937)"
135335447,"POINT (31.631134 30.109567)"
93178290,"POINT (31.398134 30.116788)"
174670859,"POINT (31.398540 30.116455)"
53659380,"POINT (31.398776 30.124051)"
151217112,"POINT (31.402224 30.122681)"
5020063,"POINT (31.420534 30.147939)"
52871681,"POINT (31.420969 30.147819)"
267222159,"POINT (31.200411 30.348950)"
267222150,"POINT (31.200628 30.349693)"
267229558,"POINT (31.200636 30.349973)"
267222153,"POINT (31.201045 30.348483)"
267222156,"POINT (31.201081 30.348739)"
267222155,"POINT (31.201099 30.348933)"
147343424,"POINT (31.202011 30.359938)"
93626012,"POINT (31.202017 30.360081)"
87357126,"POINT (31.193251 30.467050)"
88217268,"POINT (31.010884 30.560429)"
88217247,"POINT (31.011245 30.560434)"
99242219,"MULTIPOINT ((31.010231 30.573342), (31.010865 30.571782))"
99242219,"POINT (31.010913 30.571665)"
307013816,"MULTIPOINT ((31.511462 30.589448), (31.511865 30.589307))"
94129773,"POINT (30.989790 30.784903)"
87346175,"POINT (30.989985 30.783418)"
94129737,"POINT (30.987513 30.790029)"
97523379,"POINT (30.998509 30.786175)"
97523293,"POINT (31.002090 30.788772)"
97506510,"POINT (31.003120 30.788644)"
97505901,"POINT (31.003496 30.793126)"
97523423,"POINT (30.995045 30.786624)"
97506489,"POINT (31.010074 30.788832)"
97506504,"POINT (31.005221 30.787527)"
97506505,"POINT (31.009121 30.787898)"
97535481,"POINT (31.009960 30.785460)"
304189080,"MULTIPOINT ((31.458475 30.885189), (31.458312 30.884766), (31.458195 30.884460))"
95806928,"POINT (31.391408 31.017406)"
146505141,"POINT (31.367656 31.035284)"
180185670,"POINT (31.383149 31.036874)"
185975527,"POINT (31.390436 31.045782)"
185972552,"POINT (31.392791 31.050417)"
228236629,"POINT (30.944081 31.107966)"
314049163,"POINT (33.806659 31.126825)"
314195968,"POINT (33.809794 31.132571)"
28816245,"MULTIPOINT ((29.957610 31.211011), (29.958581 31.210704))"
157602680,"POINT (29.937712 31.217220)"
34602798,"POINT (29.952391 31.222678)"
157600134,"POINT (29.951198 31.228788)"
178290174,"POINT (29.954318 31.229838)"
301269183,"POINT (29.962847 31.238484)"
157631325,"POINT (29.961674 31.240297)"
42299608,"POINT (29.960323 31.240488)"
97406326,"POINT (29.971741 31.246748)"
178293781,"POINT (29.971936 31.249145)"
338052905,"POINT (29.974768 31.251906)"
97406388,"POINT (29.996863 31.252816)"
97406395,"POINT (29.995539 31.254298)"
312666889,"POINT (32.317502 31.254487)"
26136254,"POINT (34.789393 31.252832)"
251666431,"POINT (30.001948 31.266264)"
178584095,"POINT (30.001743 31.266408)"
251317408,"POINT (30.000244 31.267555)"
88051516,"POINT (32.294444 31.271917)"
245531478,"POINT (32.305265 31.268406)"
171970376,"MULTIPOINT ((31.802686 31.424628), (31.802730 31.424560))"
171970366,"MULTIPOINT ((31.802796 31.424664), (31.802837 31.424596))"
304962471,"POINT (31.804842 31.425431)"
87770647,"POINT (31.804899 31.425361)"
224311659,"POINT (-7.995186 31.632273)"
224394748,"POINT (-7.994743 31.632188)"
224311744,"POINT (-7.994744 31.632194)"
224311564,"MULTIPOINT ((-7.978661 31.629026), (-7.978338 31.629259))"
218903803,"POINT (34.871453 31.940817)"
345761916,"POINT (20.103684 32.073868)"
101420617,"POINT (20.114173 32.076252)"
345642412,"POINT (20.112501 32.078632)"
345642416,"POINT (20.114898 32.075759)"
112052365,"POINT (20.099355 32.105340)"
344740976,"POINT (20.099759 32.105370)"
290193400,"POINT (13.178408 32.883534)"
97667278,"POINT (-7.625207 33.583635)"
315894507,"POINT (-7.625121 33.583764)"
314742167,"POINT (-7.626641 33.593477)"
97558824,"POINT (-7.626143 33.594228)"
315929406,"MULTIPOINT ((-7.619497 33.587773), (-7.619448 33.587777))"
29892888,"POINT (-7.609060 33.589038)"
